来源,2026-05-28,2026-05-27,2026-05-26,2026-05-25,2026-05-24,2026-05-23,2026-05-22,合计
ace,0,2,0,0,0,0,2,4
augie_news,0,0,0,0,0,0,3,3
bridgemi,1,2,2,0,0,1,3,9
brookings,1,1,0,0,0,0,4,6
butler_stories,0,2,2,0,0,0,6,10
ecampus_news,0,1,0,1,0,0,2,4
edgov,2,1,1,0,0,0,5,9
education_minnesota,0,2,0,0,0,0,1,3
elmhurst_news,1,0,0,0,0,0,3,4
heritage,1,1,0,0,1,0,0,3
hoover_research,0,0,0,0,0,0,0,0
iastate_news,1,1,0,0,0,0,2,4
iit_news,0,0,0,0,0,0,4,4
iu_education,0,0,0,0,0,0,1,1
iu_news,2,0,0,0,0,0,1,3
kelley,0,0,0,0,0,0,1,1
kettering_news,1,0,0,0,0,0,1,2
kstate_news,1,0,0,0,0,0,10,11
ku_news,1,3,2,0,0,0,8,14
mcw_cancer,0,0,0,0,0,0,0,0
mendoza,0,0,0,0,0,0,1,1
msoe,0,0,2,0,0,0,1,3
msu_today,0,0,0,0,0,0,0,0
mtu_news,0,0,0,0,0,0,0,0
ncses_data,0,0,0,0,0,0,0,0
nd_news,1,0,0,2,0,0,0,3
nd_science,1,1,0,0,0,0,7,9
nea_news,0,0,0,0,0,0,1,1
northwestern_news,0,0,1,0,0,0,3,4
notre_dame,0,0,0,0,0,0,0,0
nsf,0,0,0,0,0,0,0,0
nsf_ncses,0,0,0,0,0,0,0,0
oneill,0,1,0,0,0,0,2,3
pewresearch,4,3,1,0,0,0,3,11
pie_news,1,0,1,0,0,0,10,12
purdue,0,0,0,0,0,0,0,0
purdue_education,0,0,0,0,0,0,0,0
purdue_engineering,2,0,0,0,0,0,5,7
purdue_polytechnic,0,1,1,0,0,0,4,6
rand,1,0,0,0,0,0,2,3
rockhurst_news,0,0,0,0,0,0,0,0
showme_mizzou,2,2,2,0,0,0,8,14
slu_news,1,0,1,0,0,0,4,6
studlife,0,0,0,0,0,0,1,1
the74_news,0,0,0,0,0,0,30,30
uchicago_news,2,1,4,0,0,1,6,14
uic_today,0,0,2,0,0,0,2,4
uiowa_now,0,0,0,0,0,0,3,3
umn_cse,1,0,0,0,0,0,3,4
uni_news,0,0,1,0,0,0,5,6
unl_news,1,3,4,0,0,0,8,16
uw_cdis,0,0,0,0,0,0,0,0
uw_education,1,1,1,0,0,0,2,5
uw_engineering,0,0,0,0,0,0,0,0
uw_gradschool,0,0,1,0,0,0,0,1
uw_news,1,2,0,0,0,0,3,6
washu_engineering,1,2,4,0,0,0,1,8
washu_source,1,0,2,0,0,0,3,6
wayne_news,1,0,0,0,0,0,5,6
whitehouse,1,1,1,1,1,1,10,16
合计,35,34,36,4,2,3,190,304
