来源,文件数,去重文章数
the74_news,22,104
kstate_news,32,87
whitehouse,32,85
unl_news,32,83
ku_news,32,80
showme_mizzou,32,58
washu_source,32,56
uchicago_news,32,47
uw_news,32,37
wayne_news,32,37
purdue_engineering,32,35
edgov,32,34
iit_news,32,31
uic_today,32,29
uw_education,32,29
uni_news,32,27
pewresearch,32,26
iu_news,32,24
washu_engineering,32,22
purdue_polytechnic,32,20
brookings,32,19
bridgemi,32,17
iastate_news,32,17
northwestern_news,32,17
pie_news,32,16
butler_stories,32,15
ecampus_news,32,15
nd_science,32,15
nd_news,32,14
uiowa_now,32,14
augie_news,32,13
rand,32,13
slu_news,32,13
umn_cse,32,13
msoe,32,12
purdue,31,12
ace,32,9
kelley,32,9
oneill,32,9
studlife,32,9
education_minnesota,32,8
elmhurst_news,32,8
uw_engineering,32,8
mendoza,32,7
mtu_news,32,7
nea_news,32,7
iu_education,32,6
kettering_news,32,6
uw_cdis,32,6
nsf_ncses,32,4
uw_gradschool,32,4
rockhurst_news,32,3
heritage,5,2
purdue_education,32,2
mcw_cancer,32,1
hoover_research,32,0
msu_today,32,0
ncses_data,32,0
notre_dame,32,0
nsf,32,0
,,
合计,1882,1301
