来源,翻译文章数
the74_news,1270
pie_news,166
unl_news,142
ku_news,122
whitehouse,121
kstate_news,120
showme_mizzou,103
uchicago_news,79
washu_source,70
purdue_engineering,57
edgov,56
uw_news,56
iit_news,54
wayne_news,54
uw_education,47
nd_science,45
pewresearch,45
iu_news,44
uni_news,44
washu_engineering,44
uic_today,43
brookings,37
bridgemi,33
butler_stories,32
iastate_news,32
purdue_polytechnic,31
msoe,30
umn_cse,29
ecampus_news,28
uiowa_now,27
augie_news,26
northwestern_news,25
slu_news,20
kelley,19
mendoza,19
nd_news,19
oneill,19
elmhurst_news,16
kettering_news,16
ace,15
studlife,15
rand,13
uw_gradschool,13
education_minnesota,11
nea_news,10
mtu_news,9
heritage,6
iu_education,6
uw_engineering,5
rockhurst_news,4
uw_cdis,2
,
合计,3349
